# BOM
|Name                 |Description                                                                                 |Quantity|Total Cost|Link                                                                                                                               |Distributor|
|---------------------|--------------------------------------------------------------------------------------------|--------|----------|-----------------------------------------------------------------------------------------------------------------------------------|-----------|
|PCB                  |Main PCB+Assembly                                                                           |1       |$27.59    |https://jlcpcb.com/                                                                                                                |JLCPCB     |

# BOM of All Components in the PCB
|No.                                         |Quantity                        |Comment|Designator             |Footprint                       |Value|Manufacturer Part    |Manufacturer   |Supplier Part|Supplier| Link 
|--------------------------------------------|--------------------------------|-------|-----------------------|--------------------------------|-----|---------------------|---------------|-------------|--------|------------------------------ 
|1                                           |8                               |1uF    |C1,C2,C3,C4,C5,C6,C7,C8|C0603                           |1uF  |C0603X105K025T       |IHHEC(禾伸堂)     |C559292      |LCSC    | https://www.lcsc.com/product-image/C559292.html |
|2                                           |3                               |100nF  |C9,C10,C11             |C0603                           |100nF|CC0603KRX7R9BB104    |YAGEO(国巨)      |C14663       |LCSC    | https://www.lcsc.com/product-detail/YAGEO-C14663.html |
|3                                           |1                               |10kΩ   |R1                     |R0603                           |10kΩ |0603WAF1002T5E       |UNI-ROYAL(厚声)  |C25804       |LCSC    | https://www.lcsc.com/product-detail/Chip-Resistor-Surface-Mount_Uniroyal-Elec-0603WAF1002T5E_C25804.html |
|4                                           |5                               |5.1kΩ  |R2,R3,R4,R5,R6         |R0603                           |5.1kΩ|0603WAF5101T5E       |UNI-ROYAL(厚声)  |C23186       |LCSC    | https://www.lcsc.com/product-detail/C23186.html |
|5                                           |1                               |SL2.1s |U1                     |SSOP-16_L4.6-W2.6-P0.53-LS4.0-BL|     |SL2.1s               |CoreChips(和芯润德)|C2684433     |LCSC    | https://www.lcsc.com/product-detail/USB-ICs_CoreChips-SL2-1s_C2684433.html |
|6                                           |3                               |TYPE-C 16PIN 2MD(073)|USB1,USB2,USB5         |USB-C-SMD_TYPE-C-16PIN-2MD-073  |     |TYPE-C 16PIN 2MD(073)|SHOU HAN(首韩)   |C2765186     |LCSC    | https://www.lcsc.com/product-detail/usb-connectors_shou-han-type-c-16pin-2md-073_C2765186.html |
|7                                           |2                               |10.0 QHHTZB6.3|USB3,USB4              |USB-A-TH_10.0QHHTZB6.3          |     |10.0 QHHTZB6.3       |SHOU HAN(首韩)   |C668591      |LCSC    | https://www.lcsc.com/product-detail/USB-Connectors_SHOU-HAN-10-0-QHHTZB6-3_C668591.html |
